TITLE,Protein_AMSS,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,14:37:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,MOLAR ELLIPTICITY,,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.0788,,
MAXY,35.46646,,
MINY,-73.42445,,
XYDATA,,,
265.8,2129.232075,258.235,0.801184
265.7,1865.912529,258.276,0.801673
265.6,7108.356674,257.985,0.798182
265.5,-996.7947326,258.363,0.802718
265.4,5261.47853,258.549,0.804942
265.3,17654.78465,258.419,0.803383
265.2,-15941.3019,258.096,0.799514
265.1,-10610.85539,258.339,0.802433
265,-1254.240669,257.989,0.798237
264.9,355.4246188,258.044,0.798889
264.8,437.2864964,258.39,0.803043
264.7,14498.24855,258.075,0.799269
264.6,10976.63629,257.891,0.797054
264.5,10277.41824,258.284,0.801768
264.4,127.6633664,258.848,0.808521
264.3,-4034.009488,258.125,0.799867
264.2,6170.157812,258.397,0.803125
264.1,4603.195497,258.571,0.8052
264,6921.088723,258.605,0.805607
263.9,-1173.168121,258.438,0.803613
263.8,9558.33261,258.829,0.808291
263.7,14161.20066,259.151,0.812137
263.6,5.928568585,257.741,0.79526
263.5,-8311.734192,258.161,0.800301
263.4,-2715.758462,258.329,0.80231
263.3,9963.819741,257.67,0.794403
263.2,5455.897945,259.236,0.813152
263.1,-5204.32788,258.797,0.807912
263,8637.485435,259.144,0.812056
262.9,2987.410528,258.268,0.801577
262.8,-2818.208506,258.526,0.804671
262.7,4045.242578,258.491,0.804251
262.6,-2072.592566,259.6,0.817507
262.5,11225.79991,258.006,0.79844
262.4,-3920.617387,257.691,0.794662
262.3,1003.165914,259.306,0.813991
262.2,-6606.634623,259.106,0.811609
262.1,2662.746705,258.921,0.809388
262,17801.06263,258.22,0.801007
261.9,5452.27811,258.375,0.802853
261.8,8646.242699,258.786,0.807776
261.7,-4326.1588,258.852,0.808562
261.6,9049.768946,258.614,0.805715
261.5,5918.66012,258.575,0.805255
261.4,-189.8688943,259.076,0.811244
261.3,4125.225717,257.051,0.78697
261.2,-1088.757319,257.362,0.790702
261.1,10376.42667,257.624,0.793859
261,-4932.366416,258.172,0.800423
260.9,5546.666359,258.032,0.798753
260.8,1432.948122,259.275,0.813626
260.7,4204.188107,258.754,0.807396
260.6,12134.87273,258.953,0.809781
260.5,-2368.218096,259.134,0.811934
260.4,-4335.685039,259.734,0.819102
260.3,-692.3938453,259.733,0.819088
260.2,-1690.432508,259.262,0.813464
260.1,3261.443248,259.037,0.810783
260,6335.575573,259.921,0.82133
259.9,3961.169493,260.184,0.824462
259.8,13798.96107,260.329,0.826188
259.7,2265.919585,260.237,0.825096
259.6,-2304.707573,260.17,0.8243
259.5,9998.186124,259.182,0.812516
259.4,14820.52267,259.137,0.811975
259.3,764.6661564,259.248,0.813301
259.2,8608.309631,258.913,0.809293
259.1,4592.58817,259.407,0.815195
259,4803.529232,259.657,0.818183
258.9,-6593.053173,259.375,0.814816
258.8,5648.039838,259.793,0.819804
258.7,4313.038735,259.049,0.810919
258.6,2767.704963,260.073,0.823139
258.5,-9868.93279,259.683,0.818494
258.4,9453.792764,259.949,0.821668
258.3,-8538.690282,258.824,0.808237
258.2,-2599.966708,259.826,0.820196
258.1,-3123.710837,260.451,0.827645
258,-1641.466914,260.054,0.82291
257.9,-4652.219894,259.723,0.818967
257.8,-9020.143065,259.851,0.820493
257.7,-573.1790906,259.777,0.819615
257.6,4623.415007,258.634,0.80596
